Series Name,Series Code,Time,Time Code,United Kingdom [GBR],Sweden [SWE],Austria [AUT],Belgium [BEL],Bulgaria [BGR],Croatia [HRV],Cyprus [CYP],Czech Republic [CZE],Denmark [DNK],Estonia [EST],Finland [FIN],France [FRA],Germany [DEU],Greece [GRC],Hungary [HUN],Ireland [IRL],Italy [ITA],Latvia [LVA],Lithuania [LTU],Luxembourg [LUX],Malta [MLT],Netherlands [NLD],Poland [POL],Portugal [PRT],Romania [ROU],Slovak Republic [SVK],Slovenia [SVN],Spain [ESP]
GDP per capita (current US$),NY.GDP.PCAP.CD,1992,YR1992,20487.1707852878,32338.5039496678,24820.2278258852,23497.7274067423,1211.98087810931,..,11310.0719239521,3338.65515761704,29526.1666015122,..,22337.4871236912,23937.0569176208,26333.537444515,11176.4584362517,3724.05885984656,15729.9342759191,23166.8041456677,..,..,40850.5430776901,8364.91783402056,23598.9507648691,2459.02068468253,10811.630636571,1102.10378473246,2908.81083227843,..,16105.4187285163
GDP per capita (current US$),NY.GDP.PCAP.CD,1993,YR1993,18389.0195675099,24080.8996705645,24023.515467019,22403.2168180008,1278.24717346108,..,10526.1417696747,3916.05165601696,27553.1220287366,..,17617.0304386654,22503.2608510696,25488.5195189314,10401.9829861914,3862.53000524729,14671.5648753562,18676.9526438714,..,..,41362.4425360461,7428.43052662627,22827.3000431587,2497.19524116689,9535.59484910868,1158.13251591344,3089.43827648565,..,13362.0183458364
GDP per capita (current US$),NY.GDP.PCAP.CD,1994,YR1994,19709.2380983653,25747.2416875525,25584.9178245938,24338.1377018161,1148.4943993817,..,11617.6927784249,4583.5844993381,29992.2214710745,..,20305.5835495475,23625.5289969556,27087.5584535617,11091.2838606376,4161.02984280883,15918.6659154365,19273.8442376076,..,..,45353.9912706396,8149.59503436951,24331.7540182404,2874.8253108452,9978.30193697855,1323.10432504932,3755.72773656894,..,13465.3778261116
GDP per capita (current US$),NY.GDP.PCAP.CD,1995,YR1995,22755.5621228195,29914.331746409,30252.7946924041,28565.9191516066,1554.04693051431,4794.93721251327,15098.0060165358,5765.04843935797,35351.3807065346,3044.37910879554,26273.4659031066,27037.9721319292,31729.6997633451,12959.3243186619,4481.41406302169,19177.4141642985,20596.388648946,2329.27085390582,2168.79609901209,52682.6838441695,9286.24584368775,28884.7135222434,3682.79121526652,11782.5214789678,1660.2727683158,4799.15105117605,10690.6652278647,15561.9727455217
GDP per capita (current US$),NY.GDP.PCAP.CD,1996,YR1996,23947.958749578,32587.2641044641,29742.4288063177,27701.903287059,1208.85023311979,5268.80567364512,14969.4227910669,6473.4354520108,35650.7243420099,3352.73024968655,25777.6412996396,27015.2589591084,30564.2478058387,13749.1151520996,4513.34451902763,20856.2965526378,23020.0991388792,2429.59108523599,2328.15380783134,52485.8215068641,9579.81243747356,28698.6660159512,4140.98354114142,12185.0638930534,1643.88045981491,5177.74886425007,10801.4284305547,16236.7716792911
GDP per capita (current US$),NY.GDP.PCAP.CD,1997,YR1997,26357.5271904696,29897.7926311935,26646.8839392444,25027.7445890682,1346.91277031093,5210.4302391096,14303.5385705316,5980.25830430715,32835.9287666102,3619.94670373304,24676.4970769622,24359.4250618537,27045.7191273318,13427.8324937945,4584.64659186848,22540.2631397555,21779.6244366447,2682.3164526783,2830.73753338088,46953.3395134305,9874.77757652616,26404.986730145,4116.92624282821,11578.4415149862,1589.01406082966,5138.14867915936,10447.9357076604,14872.5658906784
GDP per capita (current US$),NY.GDP.PCAP.CD,1998,YR1998,27759.3342111026,30143.627458278,27289.6307093023,25541.6747233656,1771.99394273504,5650.33201648619,15247.2932885008,6447.46353907816,33368.1548509045,4052.29267186935,25989.407503518,25101.3687369434,27340.6728848884,13472.1376415276,4739.81732899781,24271.2089813355,22252.3577138885,2977.14877212025,3166.89564814117,47597.3940367043,10393.302458827,27533.6067928156,4510.41311705999,12202.6914067704,1864.99138698554,5533.58884487639,11165.2763318396,15534.3598889091
GDP per capita (current US$),NY.GDP.PCAP.CD,1999,YR1999,28154.3712561647,30577.0817743892,27116.6760790806,25444.1392583071,1643.6098949729,5135.4733413906,15457.6443640866,6293.30438711993,33440.8016200638,4148.06045833246,26178.7917845508,24799.2960096043,26795.9911316814,13245.1894634121,4793.60991740643,26308.411291661,21936.8225977313,3151.3258016971,3113.54642795619,51574.3223751948,10879.6758180577,27951.734289323,4389.97641534208,12474.8180820119,1610.1343704598,5636.57953222783,11441.9970248341,15859.0860257836
GDP per capita (current US$),NY.GDP.PCAP.CD,2000,YR2000,27769.9312549996,29283.0050461572,24517.2674460147,23207.4059110078,1609.2805861652,4919.62806870834,14672.882058494,5994.52827686543,30743.5591735847,4070.03190359432,24253.2504245786,22465.6418414637,23718.746699471,12042.9537310995,4623.40671159943,26241.9184947821,20051.2426046363,3352.7312961928,3297.35470084107,48317.6662590731,11291.5842276835,25921.1279408277,4492.72760355938,11502.3968126428,1668.16273119678,5402.9297536132,10227.7367703685,14787.756063671
GDP per capita (current US$),NY.GDP.PCAP.CD,2001,YR2001,27284.2240406095,26969.2445747257,24489.7355313151,23121.6011440246,1762.45596795591,5245.42141944138,15062.9243346608,6594.71746509376,30751.6494603843,4498.95870413333,24913.2445163584,22527.3177509504,23687.3168928198,12538.1788278361,5270.80536369316,28223.5368116049,20400.8109026282,3572.80513022012,3530.14733731891,47680.381715447,11021.7863554641,26584.1216906272,4981.1986188017,11729.1461629811,1839.72945011396,5708.08265935269,10479.2963405292,15359.1084396669
