G,Date,Opponent,W/L,Tm,Opp,W,L
1,Tue Oct 27 2015,Chicago Bulls,L,95,97,0,1
2,Wed Oct 28 2015,Memphis Grizzlies,W,106,76,1,1
3,Fri Oct 30 2015,Miami Heat,W,102,92,2,1
4,Mon Nov 2 2015,Philadelphia 76ers,W,107,100,3,1
5,Wed Nov 4 2015,New York Knicks,W,96,86,4,1
6,Fri Nov 6 2015,Philadelphia 76ers,W,108,102,5,1
7,Sun Nov 8 2015,Indiana Pacers,W,101,97,6,1
8,Tue Nov 10 2015,Utah Jazz,W,118,114,7,1
9,Fri Nov 13 2015,New York Knicks,W,90,84,8,1
10,Sat Nov 14 2015,Milwaukee Bucks,L,105,108,8,2
11,Tue Nov 17 2015,Detroit Pistons,L,99,104,8,3
12,Thu Nov 19 2015,Milwaukee Bucks,W,115,100,9,3
13,Sat Nov 21 2015,Atlanta Hawks,W,109,97,10,3
14,Mon Nov 23 2015,Orlando Magic,W,117,103,11,3
15,Wed Nov 25 2015,Toronto Raptors,L,99,103,11,4
16,Fri Nov 27 2015,Charlotte Hornets,W,95,90,12,4
17,Sat Nov 28 2015,Brooklyn Nets,W,90,88,13,4
18,Tue Dec 1 2015,Washington Wizards,L,85,97,13,5
19,Fri Dec 4 2015,New Orleans Pelicans,L,108,114,13,6
20,Sat Dec 5 2015,Miami Heat,L,84,99,13,7
21,Tue Dec 8 2015,Portland Trail Blazers,W,105,100,14,7
22,Fri Dec 11 2015,Orlando Magic,W,111,76,15,7
23,Tue Dec 15 2015,Boston Celtics,W,89,77,16,7
24,Thu Dec 17 2015,Oklahoma City Thunder,W,104,100,17,7
25,Sun Dec 20 2015,Philadelphia 76ers,W,108,86,18,7
26,Wed Dec 23 2015,New York Knicks,W,91,84,19,7
27,Fri Dec 25 2015,Golden State Warriors,L,83,89,19,8
28,Sat Dec 26 2015,Portland Trail Blazers,L,76,105,19,9
29,Mon Dec 28 2015,Phoenix Suns,W,101,97,20,9
30,Tue Dec 29 2015,Denver Nuggets,W,93,87,21,9
31,Sat Jan 2 2016,Orlando Magic,W,104,79,22,9
32,Mon Jan 4 2016,Toronto Raptors,W,122,100,23,9
33,Wed Jan 6 2016,Washington Wizards,W,121,115,24,9
34,Fri Jan 8 2016,Minnesota Timberwolves,W,125,99,25,9
35,Sun Jan 10 2016,Philadelphia 76ers,W,95,85,26,9
36,Tue Jan 12 2016,Dallas Mavericks,W,110,107,27,9
37,Thu Jan 14 2016,San Antonio Spurs,L,95,99,27,10
38,Fri Jan 15 2016,Houston Rockets,W,91,77,28,10
39,Mon Jan 18 2016,Golden State Warriors,L,98,132,28,11
40,Wed Jan 20 2016,Brooklyn Nets,W,91,78,29,11
41,Thu Jan 21 2016,Los Angeles Clippers,W,115,102,30,11
42,Sat Jan 23 2016,Chicago Bulls,L,83,96,30,12
43,Mon Jan 25 2016,Minnesota Timberwolves,W,114,107,31,12
44,Wed Jan 27 2016,Phoenix Suns,W,115,93,32,12
45,Fri Jan 29 2016,Detroit Pistons,W,114,106,33,12
46,Sat Jan 30 2016,San Antonio Spurs,W,117,103,34,12
47,Mon Feb 1 2016,Indiana Pacers,W,111,106,35,12
48,Wed Feb 3 2016,Charlotte Hornets,L,97,106,35,13
49,Fri Feb 5 2016,Boston Celtics,L,103,104,35,14
50,Sat Feb 6 2016,New Orleans Pelicans,W,99,84,36,14
51,Mon Feb 8 2016,Sacramento Kings,W,120,100,37,14
52,Wed Feb 10 2016,Los Angeles Lakers,W,120,111,38,14
53,Thu Feb 18 2016,Chicago Bulls,W,106,95,39,14
54,Sun Feb 21 2016,Oklahoma City Thunder,W,115,92,40,14
55,Mon Feb 22 2016,Detroit Pistons,L,88,96,40,15
56,Wed Feb 24 2016,Charlotte Hornets,W,114,103,41,15
57,Fri Feb 26 2016,Toronto Raptors,L,97,99,41,16
58,Sun Feb 28 2016,Washington Wizards,L,99,113,41,17
59,Mon Feb 29 2016,Indiana Pacers,W,100,96,42,17
60,Fri Mar 4 2016,Washington Wizards,W,108,83,43,17
61,Sat Mar 5 2016,Boston Celtics,W,120,103,44,17
62,Mon Mar 7 2016,Memphis Grizzlies,L,103,106,44,18
63,Wed Mar 9 2016,Sacramento Kings,W,120,111,45,18
64,Thu Mar 10 2016,Los Angeles Lakers,W,120,108,46,18
65,Sun Mar 13 2016,Los Angeles Clippers,W,114,90,47,18
66,Mon Mar 14 2016,Utah Jazz,L,85,94,47,19
67,Wed Mar 16 2016,Dallas Mavericks,W,99,98,48,19
68,Fri Mar 18 2016,Orlando Magic,W,109,103,49,19
69,Sat Mar 19 2016,Miami Heat,L,101,122,49,20
70,Mon Mar 21 2016,Denver Nuggets,W,124,91,50,20
71,Wed Mar 23 2016,Milwaukee Bucks,W,113,104,51,20
72,Thu Mar 24 2016,Brooklyn Nets,L,95,104,51,21
73,Sat Mar 26 2016,New York Knicks,W,107,93,52,21
74,Tue Mar 29 2016,Houston Rockets,L,100,106,52,22
75,Thu Mar 31 2016,Brooklyn Nets,W,107,87,53,22
76,Fri Apr 1 2016,Atlanta Hawks,W,110,108,54,22
77,Sun Apr 3 2016,Charlotte Hornets,W,112,103,55,22
78,Tue Apr 5 2016,Milwaukee Bucks,W,109,80,56,22
79,Wed Apr 6 2016,Indiana Pacers,L,109,123,56,23
80,Sat Apr 9 2016,Chicago Bulls,L,102,105,56,24
81,Mon Apr 11 2016,Atlanta Hawks,W,109,94,57,24
82,Wed Apr 13 2016,Detroit Pistons,L,110,112,57,25
